"location","peoNum","time","isHoliday","min_temp","max_temp","avg_temp","subjective_precipitation_category"
"SLSC",49,"2026-03-01T01:30:02.195Z",true,19,29,22.8,2
"SSSC",55,"2026-03-01T01:30:02.195Z",true,19,29,22.8,2
"WSSC",32,"2026-03-01T01:30:02.195Z",true,19.2,23.1,21,3
"ZSSC",38,"2026-03-01T01:30:02.195Z",true,19.2,23.1,21,3
"LKSC",30,"2026-03-01T01:30:02.195Z",true,19.2,23.1,21,3
"TYSC",22,"2026-03-01T01:30:02.195Z",true,19.3,24.5,21.3,3
"NGSC",58,"2026-03-01T01:30:02.195Z",true,19,29,22.8,2
"PQFN",13,"2026-03-01T01:30:02.195Z",true,19,29,22.8,2
"CMSC",30,"2026-03-01T01:30:02.195Z",true,18.6,25.7,21.3,3
"NTSC",39,"2026-03-01T01:30:02.195Z",true,18.6,25.7,21.3,3
"RFFN",8,"2026-03-01T01:30:02.195Z",true,19,29,22.8,2
"ZBSC",25,"2026-03-01T01:30:02.195Z",true,19.4,23.6,20.8,2
"BTSC",30,"2026-03-01T01:45:02.009Z",true,19,29,22.8,2
"DTSC",35,"2026-03-01T01:45:02.009Z",true,19.2,23.1,21,3
"JJSC",80,"2026-03-01T01:45:02.009Z",true,19.2,23.1,21,3
"NHSC",73,"2026-03-01T01:45:02.009Z",true,19,29,22.8,2
"SLSC",47,"2026-03-01T01:45:02.009Z",true,19,29,22.8,2
"SSSC",64,"2026-03-01T01:45:02.009Z",true,19,29,22.8,2
"WSSC",35,"2026-03-01T01:45:02.009Z",true,19.2,23.1,21,3
"ZSSC",35,"2026-03-01T01:45:02.009Z",true,19.2,23.1,21,3
"LKSC",27,"2026-03-01T01:45:02.009Z",true,19.2,23.1,21,3
"TYSC",22,"2026-03-01T01:45:02.009Z",true,19.3,24.5,21.3,3
"NGSC",60,"2026-03-01T01:45:02.009Z",true,19,29,22.8,2
"PQFN",10,"2026-03-01T01:45:02.009Z",true,19,29,22.8,2
"CMSC",27,"2026-03-01T01:45:02.009Z",true,18.6,25.7,21.3,3
"NTSC",44,"2026-03-01T01:45:02.009Z",true,18.6,25.7,21.3,3
"RFFN",9,"2026-03-01T01:45:02.009Z",true,19,29,22.8,2
"ZBSC",24,"2026-03-01T01:45:02.009Z",true,19.4,23.6,20.8,2
"BTSC",22,"2026-03-01T02:15:02.415Z",true,19,29,22.8,2
"DTSC",25,"2026-03-01T02:15:02.415Z",true,19.2,23.1,21,3
"JJSC",75,"2026-03-01T02:15:02.415Z",true,19.2,23.1,21,3
"NHSC",38,"2026-03-01T02:15:02.415Z",true,19,29,22.8,2
"SLSC",40,"2026-03-01T02:15:02.415Z",true,19,29,22.8,2
"SSSC",56,"2026-03-01T02:15:02.415Z",true,19,29,22.8,2
"WSSC",35,"2026-03-01T02:15:02.415Z",true,19.2,23.1,21,3
"ZSSC",17,"2026-03-01T02:15:02.415Z",true,19.2,23.1,21,3
"LKSC",23,"2026-03-01T02:15:02.415Z",true,19.2,23.1,21,3
"TYSC",29,"2026-03-01T02:15:02.415Z",true,19.3,24.5,21.3,3
"NGSC",55,"2026-03-01T02:15:02.415Z",true,19,29,22.8,2
"PQFN",12,"2026-03-01T02:15:02.415Z",true,19,29,22.8,2
"CMSC",23,"2026-03-01T02:15:02.415Z",true,18.6,25.7,21.3,3
"NTSC",51,"2026-03-01T02:15:02.415Z",true,18.6,25.7,21.3,3
"RFFN",11,"2026-03-01T02:15:02.415Z",true,19,29,22.8,2
"ZBSC",26,"2026-03-01T02:15:02.415Z",true,19.4,23.6,20.8,2
"BTSC",49,"2026-03-01T03:30:01.991Z",true,19,29,22.8,2
"DTSC",58,"2026-03-01T03:30:01.991Z",true,19.2,23.1,21,3
"JJSC",98,"2026-03-01T03:30:01.991Z",true,19.2,23.1,21,3
"NHSC",65,"2026-03-01T03:30:01.991Z",true,19,29,22.8,2
"SLSC",45,"2026-03-01T03:30:01.991Z",true,19,29,22.8,2
"SSSC",59,"2026-03-01T03:30:01.991Z",true,19,29,22.8,2
"WSSC",45,"2026-03-01T03:30:01.991Z",true,19.2,23.1,21,3
"ZSSC",34,"2026-03-01T03:30:01.991Z",true,19.2,23.1,21,3
"LKSC",16,"2026-03-01T03:30:01.991Z",true,19.2,23.1,21,3
"TYSC",26,"2026-03-01T03:30:01.991Z",true,19.3,24.5,21.3,3
"NGSC",60,"2026-03-01T03:30:01.991Z",true,19,29,22.8,2
"PQFN",19,"2026-03-01T03:30:01.991Z",true,19,29,22.8,2
"CMSC",15,"2026-03-01T03:30:01.991Z",true,18.6,25.7,21.3,3
"NTSC",54,"2026-03-01T03:30:01.991Z",true,18.6,25.7,21.3,3
"RFFN",20,"2026-03-01T03:30:01.991Z",true,19,29,22.8,2
"BTSC",52,"2026-03-01T03:45:01.691Z",true,19,29,22.8,2
"DTSC",47,"2026-03-01T03:45:01.691Z",true,19.2,23.1,21,3
"JJSC",103,"2026-03-01T03:45:01.691Z",true,19.2,23.1,21,3
"NHSC",67,"2026-03-01T03:45:01.691Z",true,19,29,22.8,2
"SLSC",42,"2026-03-01T03:45:01.691Z",true,19,29,22.8,2
"SSSC",57,"2026-03-01T03:45:01.691Z",true,19,29,22.8,2
"WSSC",45,"2026-03-01T03:45:01.691Z",true,19.2,23.1,21,3
"ZSSC",33,"2026-03-01T03:45:01.691Z",true,19.2,23.1,21,3
"LKSC",20,"2026-03-01T03:45:01.691Z",true,19.2,23.1,21,3
"TYSC",27,"2026-03-01T03:45:01.691Z",true,19.3,24.5,21.3,3
"NGSC",60,"2026-03-01T03:45:01.691Z",true,19,29,22.8,2
"PQFN",16,"2026-03-01T03:45:01.691Z",true,19,29,22.8,2
"CMSC",27,"2026-03-01T03:45:01.691Z",true,18.6,25.7,21.3,3
"NTSC",44,"2026-03-01T03:45:01.691Z",true,18.6,25.7,21.3,3
"RFFN",25,"2026-03-01T03:45:01.691Z",true,19,29,22.8,2
"ZBSC",34,"2026-03-01T03:45:01.691Z",true,19.4,23.6,20.8,2
"BTSC",35,"2026-03-01T04:30:02.244Z",true,19,29,22.8,2
"DTSC",39,"2026-03-01T04:30:02.244Z",true,19.2,23.1,21,3
"JJSC",107,"2026-03-01T04:30:02.244Z",true,19.2,23.1,21,3
"NHSC",70,"2026-03-01T04:30:02.244Z",true,19,29,22.8,2
"SLSC",46,"2026-03-01T04:30:02.244Z",true,19,29,22.8,2
"SSSC",60,"2026-03-01T04:30:02.244Z",true,19,29,22.8,2
"WSSC",36,"2026-03-01T04:30:02.244Z",true,19.2,23.1,21,3
"ZSSC",24,"2026-03-01T04:30:02.244Z",true,19.2,23.1,21,3
"LKSC",29,"2026-03-01T04:30:02.244Z",true,19.2,23.1,21,3
"TYSC",30,"2026-03-01T04:30:02.244Z",true,19.3,24.5,21.3,3
"NGSC",61,"2026-03-01T04:30:02.244Z",true,19,29,22.8,2
"PQFN",8,"2026-03-01T04:30:02.244Z",true,19,29,22.8,2
"CMSC",27,"2026-03-01T04:30:02.244Z",true,18.6,25.7,21.3,3
"NTSC",38,"2026-03-01T04:30:02.244Z",true,18.6,25.7,21.3,3
"RFFN",18,"2026-03-01T04:30:02.244Z",true,19,29,22.8,2
"ZBSC",32,"2026-03-01T04:30:02.244Z",true,19.4,23.6,20.8,2
"BTSC",28,"2026-03-01T04:45:02.348Z",true,19,29,22.8,2
"DTSC",41,"2026-03-01T04:45:02.348Z",true,19.2,23.1,21,3
"JJSC",112,"2026-03-01T04:45:02.348Z",true,19.2,23.1,21,3
"NHSC",63,"2026-03-01T04:45:02.348Z",true,19,29,22.8,2
"SLSC",46,"2026-03-01T04:45:02.348Z",true,19,29,22.8,2
"SSSC",51,"2026-03-01T04:45:02.348Z",true,19,29,22.8,2
"WSSC",31,"2026-03-01T04:45:02.348Z",true,19.2,23.1,21,3
"ZSSC",26,"2026-03-01T04:45:02.348Z",true,19.2,23.1,21,3
"LKSC",27,"2026-03-01T04:45:02.348Z",true,19.2,23.1,21,3
"TYSC",25,"2026-03-01T04:45:02.348Z",true,19.3,24.5,21.3,3
"NGSC",61,"2026-03-01T04:45:02.348Z",true,19,29,22.8,2
"PQFN",8,"2026-03-01T04:45:02.348Z",true,19,29,22.8,2
"NTSC",41,"2026-03-01T04:45:02.348Z",true,18.6,25.7,21.3,3
"RFFN",12,"2026-03-01T04:45:02.348Z",true,19,29,22.8,2
"ZBSC",20,"2026-03-01T04:45:02.348Z",true,19.4,23.6,20.8,2
"BTSC",41,"2026-03-01T04:15:02.194Z",true,19,29,22.8,2
"DTSC",47,"2026-03-01T04:15:02.194Z",true,19.2,23.1,21,3
"JJSC",105,"2026-03-01T04:15:02.194Z",true,19.2,23.1,21,3
"NHSC",54,"2026-03-01T04:15:02.194Z",true,19,29,22.8,2
"SLSC",46,"2026-03-01T04:15:02.194Z",true,19,29,22.8,2
"SSSC",59,"2026-03-01T04:15:02.194Z",true,19,29,22.8,2
"WSSC",41,"2026-03-01T04:15:02.194Z",true,19.2,23.1,21,3
"ZSSC",26,"2026-03-01T04:15:02.194Z",true,19.2,23.1,21,3
"LKSC",27,"2026-03-01T04:15:02.194Z",true,19.2,23.1,21,3
"TYSC",27,"2026-03-01T04:15:02.194Z",true,19.3,24.5,21.3,3
"NGSC",63,"2026-03-01T04:15:02.194Z",true,19,29,22.8,2
"PQFN",8,"2026-03-01T04:15:02.194Z",true,19,29,22.8,2
"NTSC",41,"2026-03-01T04:15:02.194Z",true,18.6,25.7,21.3,3
"RFFN",12,"2026-03-01T04:15:02.194Z",true,19,29,22.8,2
"BTSC",29,"2026-03-01T05:00:02.180Z",true,19,29,22.8,2
"DTSC",39,"2026-03-01T05:00:02.180Z",true,19.2,23.1,21,3
"JJSC",117,"2026-03-01T05:00:02.180Z",true,19.2,23.1,21,3
"NHSC",63,"2026-03-01T05:00:02.180Z",true,19,29,22.8,2
"SLSC",44,"2026-03-01T05:00:02.180Z",true,19,29,22.8,2
"SSSC",55,"2026-03-01T05:00:02.180Z",true,19,29,22.8,2
"WSSC",35,"2026-03-01T05:00:02.180Z",true,19.2,23.1,21,3
"ZSSC",23,"2026-03-01T05:00:02.180Z",true,19.2,23.1,21,3
"LKSC",27,"2026-03-01T05:00:02.180Z",true,19.2,23.1,21,3
"TYSC",24,"2026-03-01T05:00:02.180Z",true,19.3,24.5,21.3,3
"NGSC",59,"2026-03-01T05:00:02.180Z",true,19,29,22.8,2
"PQFN",8,"2026-03-01T05:00:02.180Z",true,19,29,22.8,2
"NTSC",41,"2026-03-01T05:00:02.180Z",true,18.6,25.7,21.3,3
"RFFN",12,"2026-03-01T05:00:02.180Z",true,19,29,22.8,2
"BTSC",25,"2026-03-01T05:15:02.255Z",true,19,29,22.8,2
"DTSC",36,"2026-03-01T05:15:02.255Z",true,19.2,23.1,21,3
"JJSC",119,"2026-03-01T05:15:02.255Z",true,19.2,23.1,21,3
"NHSC",67,"2026-03-01T05:15:02.255Z",true,19,29,22.8,2
"SLSC",41,"2026-03-01T05:15:02.255Z",true,19,29,22.8,2
"SSSC",54,"2026-03-01T05:15:02.255Z",true,19,29,22.8,2
"WSSC",41,"2026-03-01T05:15:02.255Z",true,19.2,23.1,21,3
"ZSSC",22,"2026-03-01T05:15:02.255Z",true,19.2,23.1,21,3
"LKSC",21,"2026-03-01T05:15:02.255Z",true,19.2,23.1,21,3
"TYSC",33,"2026-03-01T05:15:02.255Z",true,19.3,24.5,21.3,3
"PQFN",8,"2026-03-01T05:15:02.255Z",true,19,29,22.8,2
"NTSC",41,"2026-03-01T05:15:02.255Z",true,18.6,25.7,21.3,3
"RFFN",12,"2026-03-01T05:15:02.255Z",true,19,29,22.8,2
"ZBSC",20,"2026-03-01T05:15:02.255Z",true,19.4,23.6,20.8,2
"BTSC",25,"2026-03-01T05:30:02.546Z",true,19,29,22.8,2
"DTSC",37,"2026-03-01T05:30:02.546Z",true,19.2,23.1,21,3
"JJSC",120,"2026-03-01T05:30:02.546Z",true,19.2,23.1,21,3
"NHSC",66,"2026-03-01T05:30:02.546Z",true,19,29,22.8,2
"SLSC",42,"2026-03-01T05:30:02.546Z",true,19,29,22.8,2
"SSSC",59,"2026-03-01T05:30:02.546Z",true,19,29,22.8,2
"WSSC",45,"2026-03-01T05:30:02.546Z",true,19.2,23.1,21,3
"ZSSC",22,"2026-03-01T05:30:02.546Z",true,19.2,23.1,21,3
"LKSC",18,"2026-03-01T05:30:02.546Z",true,19.2,23.1,21,3
"TYSC",33,"2026-03-01T05:30:02.546Z",true,19.3,24.5,21.3,3
"NGSC",65,"2026-03-01T05:30:02.546Z",true,19,29,22.8,2
"PQFN",10,"2026-03-01T05:30:02.546Z",true,19,29,22.8,2
"CMSC",18,"2026-03-01T05:30:02.546Z",true,18.6,25.7,21.3,3
"NTSC",44,"2026-03-01T05:30:02.546Z",true,18.6,25.7,21.3,3
"RFFN",14,"2026-03-01T05:30:02.546Z",true,19,29,22.8,2
"ZBSC",25,"2026-03-01T05:30:02.546Z",true,19.4,23.6,20.8,2
"BTSC",24,"2026-03-01T06:15:02.053Z",true,19,29,22.8,2
"DTSC",56,"2026-03-01T06:15:02.053Z",true,19.2,23.1,21,3
"JJSC",119,"2026-03-01T06:15:02.053Z",true,19.2,23.1,21,3
"NHSC",55,"2026-03-01T06:15:02.053Z",true,19,29,22.8,2
"SLSC",39,"2026-03-01T06:15:02.053Z",true,19,29,22.8,2
"SSSC",70,"2026-03-01T06:15:02.053Z",true,19,29,22.8,2
"WSSC",44,"2026-03-01T06:15:02.053Z",true,19.2,23.1,21,3
"ZSSC",33,"2026-03-01T06:15:02.053Z",true,19.2,23.1,21,3
"LKSC",33,"2026-03-01T06:15:02.053Z",true,19.2,23.1,21,3
"TYSC",22,"2026-03-01T06:15:02.053Z",true,19.3,24.5,21.3,3
"NGSC",66,"2026-03-01T06:15:02.053Z",true,19,29,22.8,2
"PQFN",23,"2026-03-01T06:15:02.053Z",true,19,29,22.8,2
"CMSC",42,"2026-03-01T06:15:02.053Z",true,18.6,25.7,21.3,3
"NTSC",46,"2026-03-01T06:15:02.053Z",true,18.6,25.7,21.3,3
"RFFN",23,"2026-03-01T06:15:02.053Z",true,19,29,22.8,2
"ZBSC",34,"2026-03-01T06:15:02.053Z",true,19.4,23.6,20.8,2
"BTSC",31,"2026-03-01T06:45:02.294Z",true,19,29,22.8,2
"DTSC",57,"2026-03-01T06:45:02.294Z",true,19.2,23.1,21,3
"JJSC",119,"2026-03-01T06:45:02.294Z",true,19.2,23.1,21,3
"NHSC",58,"2026-03-01T06:45:02.294Z",true,19,29,22.8,2
"SLSC",47,"2026-03-01T06:45:02.294Z",true,19,29,22.8,2
"SSSC",81,"2026-03-01T06:45:02.294Z",true,19,29,22.8,2
"WSSC",54,"2026-03-01T06:45:02.294Z",true,19.2,23.1,21,3
"ZSSC",37,"2026-03-01T06:45:02.294Z",true,19.2,23.1,21,3
"LKSC",39,"2026-03-01T06:45:02.294Z",true,19.2,23.1,21,3
"TYSC",38,"2026-03-01T06:45:02.294Z",true,19.3,24.5,21.3,3
"NGSC",83,"2026-03-01T06:45:02.294Z",true,19,29,22.8,2
"PQFN",28,"2026-03-01T06:45:02.294Z",true,19,29,22.8,2
"CMSC",43,"2026-03-01T06:45:02.294Z",true,18.6,25.7,21.3,3
"NTSC",58,"2026-03-01T06:45:02.294Z",true,18.6,25.7,21.3,3
"RFFN",20,"2026-03-01T06:45:02.294Z",true,19,29,22.8,2
"BTSC",32,"2026-03-01T07:00:02.708Z",true,19,29,22.8,2
"DTSC",56,"2026-03-01T07:00:02.708Z",true,19.2,23.1,21,3
"JJSC",120,"2026-03-01T07:00:02.708Z",true,19.2,23.1,21,3
"NHSC",60,"2026-03-01T07:00:02.708Z",true,19,29,22.8,2
"SLSC",49,"2026-03-01T07:00:02.708Z",true,19,29,22.8,2
"SSSC",85,"2026-03-01T07:00:02.708Z",true,19,29,22.8,2
"WSSC",50,"2026-03-01T07:00:02.708Z",true,19.2,23.1,21,3
"ZSSC",33,"2026-03-01T07:00:02.708Z",true,19.2,23.1,21,3
"LKSC",44,"2026-03-01T07:00:02.708Z",true,19.2,23.1,21,3
"TYSC",43,"2026-03-01T07:00:02.708Z",true,19.3,24.5,21.3,3
"NGSC",91,"2026-03-01T07:00:02.708Z",true,19,29,22.8,2
"PQFN",23,"2026-03-01T07:00:02.708Z",true,19,29,22.8,2
"CMSC",45,"2026-03-01T07:00:02.708Z",true,18.6,25.7,21.3,3
"NTSC",60,"2026-03-01T07:00:02.708Z",true,18.6,25.7,21.3,3
"RFFN",19,"2026-03-01T07:00:02.708Z",true,19,29,22.8,2
"ZBSC",50,"2026-03-01T07:00:02.708Z",true,19.4,23.6,20.8,2
"BTSC",42,"2026-03-01T07:15:02.428Z",true,19,29,22.8,2
"DTSC",61,"2026-03-01T07:15:02.428Z",true,19.2,23.1,21,3
"JJSC",120,"2026-03-01T07:15:02.428Z",true,19.2,23.1,21,3
"NHSC",56,"2026-03-01T07:15:02.428Z",true,19,29,22.8,2
"SLSC",51,"2026-03-01T07:15:02.428Z",true,19,29,22.8,2
"SSSC",90,"2026-03-01T07:15:02.428Z",true,19,29,22.8,2
"WSSC",55,"2026-03-01T07:15:02.428Z",true,19.2,23.1,21,3
